"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1007",334070,"Galapagos Rift","Undersea Features","Submarine","Eruption Observed","1996 CE","Hawaii and Pacific Ocean","Pacific Ocean (eastern)",0.792,-86.15,-2430,"Basalt / Picro-Basalt","Rift zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-86.15,0.792,TRUE
"1098",344020,"San Cristobal","Nicaragua","Stratovolcano","Eruption Observed","2019 CE","México and Central America","Nicaragua",12.702,-87.004,1745,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-87.004,12.702,TRUE
"1099",344040,"Telica","Nicaragua","Stratovolcano(es)","Eruption Observed","2018 CE","México and Central America","Nicaragua",12.606,-86.84,1036,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.84,12.606,TRUE
"1100",344060,"Rota","Nicaragua","Stratovolcano","Evidence Credible","Unknown","México and Central America","Nicaragua",12.55,-86.75,832,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.75,12.55,TRUE
"1101",344070,"Negro, Cerro","Nicaragua","Pyroclastic cone(s)","Eruption Observed","1999 CE","México and Central America","Nicaragua",12.506,-86.702,728,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.702,12.506,TRUE
"1102",344080,"Pilas, Las","Nicaragua","Complex","Eruption Observed","1954 CE","México and Central America","Nicaragua",12.495,-86.688,1088,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.688,12.495,TRUE
"1103",344090,"Momotombo","Nicaragua","Stratovolcano","Eruption Observed","2016 CE","México and Central America","Nicaragua",12.423,-86.539,1270,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.539,12.423,TRUE
"1104",344091,"Apoyeque","Nicaragua","Pyroclastic shield","Eruption Dated","50 BCE","México and Central America","Nicaragua",12.242,-86.342,518,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.342,12.242,TRUE
"1105",344092,"Nejapa-Miraflores","Nicaragua","Fissure vent(s)","Eruption Dated","1060 CE","México and Central America","Nicaragua",12.12,-86.32,360,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.32,12.12,TRUE
"1106",344100,"Masaya","Nicaragua","Caldera","Eruption Observed","2019 CE","México and Central America","Nicaragua",11.984,-86.161,635,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-86.161,11.984,TRUE
"1107",344101,"Granada","Nicaragua","Fissure vent(s)","Evidence Credible","Unknown","México and Central America","Nicaragua",11.92,-85.98,300,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-85.98,11.92,TRUE
"1108",344110,"Mombacho","Nicaragua","Stratovolcano","Unrest / Holocene","Unknown","México and Central America","Nicaragua",11.826,-85.968,1344,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-85.968,11.826,TRUE
"1109",344111,"Zapatera","Nicaragua","Shield","Evidence Credible","Unknown","México and Central America","Nicaragua",11.73,-85.82,629,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-85.82,11.73,TRUE
"1110",344120,"Concepcion","Nicaragua","Stratovolcano","Eruption Observed","2011 CE","México and Central America","Nicaragua",11.538,-85.622,1700,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-85.622,11.538,TRUE
