"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"834",311070,"Gareloi","United States","Stratovolcano","Eruption Observed","1989 CE","Alaska","Aleutian Islands",51.79,-178.794,1573,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",50.0416946411133,-73.0919952392578,265.041381835938,-178.794,51.79,TRUE
"835",311080,"Tanaga","United States","Stratovolcano(es)","Eruption Observed","1914 CE","Alaska","Aleutian Islands",51.885,-178.146,1806,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",54.2162399291992,-82.264518737793,264.088684082031,-178.146,51.885,TRUE
"836",311090,"Takawangha","United States","Stratovolcano","Eruption Dated","1550 CE","Alaska","Aleutian Islands",51.873,-178.006,1449,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.0915107727051,-78.2655715942383,263.780548095703,-178.006,51.873,TRUE
"837",311100,"Bobrof","United States","Stratovolcano","Evidence Uncertain","Unknown","Alaska","Aleutian Islands",51.91,-177.438,738,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.6174545288086,-80.4519195556641,264.961273193359,-177.438,51.91,TRUE
"838",311110,"Kanaga","United States","Stratovolcano","Eruption Observed","2012 CE","Alaska","Aleutian Islands",51.923,-177.168,1307,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.0535316467285,-78.4041137695312,265.318420410156,-177.168,51.923,TRUE
"839",311111,"Moffett","United States","Stratovolcano","Eruption Dated","1600 BCE","Alaska","Aleutian Islands",51.944,-176.747,1196,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",54.1111221313477,-79.7398452758789,263.374664306641,-176.747,51.944,TRUE
"840",311120,"Great Sitkin","United States","Stratovolcano","Eruption Observed","2019 CE","Alaska","Aleutian Islands",52.076,-176.13,1740,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",57.1000938415527,-91.0485763549805,258.445556640625,-176.13,52.076,TRUE
"841",311130,"Kasatochi","United States","Stratovolcano","Eruption Observed","2008 CE","Alaska","Aleutian Islands",52.177,-175.508,314,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",56.8181381225586,-96.4794769287109,263.215454101562,-175.508,52.177,TRUE
"842",311140,"Koniuji","United States","Stratovolcano","Eruption Dated","1150 BCE","Alaska","Aleutian Islands",52.22,-175.13,273,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",56.3437461853027,-98.977653503418,267.022796630859,-175.13,52.22,TRUE
"843",311160,"Atka","United States","Stratovolcano(es)","Eruption Observed","1812 CE","Alaska","Aleutian Islands",52.331,-174.139,1448,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",55.8247222900391,-111.208709716797,261.865203857422,-174.139,52.331,TRUE
