"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"5",211003,"Vulsini","Italy","Caldera","Eruption Observed","104 BCE","Mediterranean and Western Asia","Italy",42.6,11.93,800,"Trachyte / Trachydacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,11.93,42.6,TRUE
"6",211004,"Colli Albani","Italy","Caldera","Evidence Uncertain","Unknown","Mediterranean and Western Asia","Italy",41.73,12.7,949,"Foidite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,12.7,41.73,TRUE
"7",211010,"Campi Flegrei","Italy","Caldera","Eruption Observed","1538 CE","Mediterranean and Western Asia","Italy",40.827,14.139,458,"Trachyte / Trachydacite","Subduction zone / Continental crust (>25 km)","Holocene",51.9720925395109,-308.781504218906,140.64867315315,14.139,40.827,TRUE
"8",211020,"Vesuvius","Italy","Stratovolcano","Eruption Observed","1944 CE","Mediterranean and Western Asia","Italy",40.821,14.426,1281,"Phono-tephrite /  Tephri-phonolite","Subduction zone / Continental crust (>25 km)","Holocene",55.3598925537098,-285.157395994687,135.840886429272,14.426,40.821,TRUE
"9",211030,"Ischia","Italy","Complex","Eruption Observed","1302 CE","Mediterranean and Western Asia","Italy",40.73,13.897,789,"Trachyte / Trachydacite","Subduction zone / Continental crust (>25 km)","Holocene",49.2056961126123,-335.746429360317,145.082931508426,13.897,40.73,TRUE
"10",211031,"Palinuro","Italy","Submarine","Eruption Dated","8040 BCE","Mediterranean and Western Asia","Italy",39.48,14.83,-70,"Phonolite","Subduction zone / Continental crust (>25 km)","Holocene",47.6472676594307,-299.545718695969,195.878935053322,14.83,39.48,TRUE
"11",211040,"Stromboli","Italy","Stratovolcano","Eruption Observed","2019 CE","Mediterranean and Western Asia","Italy",38.789,15.213,924,"Trachyandesite / Basaltic Trachyandesite","Subduction zone / Continental crust (>25 km)","Holocene",67.8634779195647,-181.33685645373,225.651814730022,15.213,38.789,TRUE
"12",211041,"Panarea","Italy","Stratovolcano","Evidence Uncertain","Unknown","Mediterranean and Western Asia","Italy",38.638,15.064,399,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",68.0970577645174,-168.803721183344,237.218304072086,15.064,38.638,TRUE
"13",211042,"Lipari","Italy","Stratovolcano(es)","Eruption Dated","1230 CE","Mediterranean and Western Asia","Italy",38.49,14.933,590,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",68.3905580319245,-146.339267402447,244.029919071313,14.933,38.49,TRUE
"14",211050,"Vulcano","Italy","Stratovolcano(es)","Eruption Observed","1890 CE","Mediterranean and Western Asia","Italy",38.404,14.962,500,"Trachybasalt / Tephrite Basanite","Subduction zone / Continental crust (>25 km)","Holocene",67.7829895051568,-122.287155245728,244.463144916274,14.962,38.404,TRUE
"15",211060,"Etna","Italy","Stratovolcano(es)","Eruption Observed","2019 CE","Mediterranean and Western Asia","Italy",37.748,14.999,3295,"Trachybasalt / Tephrite Basanite","Subduction zone / Continental crust (>25 km)","Holocene",21.215251950072,-28.8290519946319,260.858398374533,14.999,37.748,TRUE
"16",211070,"Campi Flegrei del Mar di Sicilia","Italy","Submarine","Eruption Observed","1867 CE","Mediterranean and Western Asia","Italy",37.1,12.7,-8,"Trachybasalt / Tephrite Basanite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,12.7,37.1,TRUE
"17",211071,"Pantelleria","Italy","Shield","Eruption Observed","1891 CE","Mediterranean and Western Asia","Italy",36.77,12.02,836,"Rhyolite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,12.02,36.77,TRUE
"18",211080,"Marsili","Italy","Submarine","Eruption Dated","1050 BCE","Mediterranean and Western Asia","Italy",39.284,14.399,-779,"","","Holocene",44.8915049107505,-326.080200189096,209.605626386184,14.399,39.284,TRUE
"19",212020,"Methana","Greece","Lava dome(s)","Eruption Observed","258 BCE","Mediterranean and Western Asia","Greece",37.615,23.336,760,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,23.336,37.615,TRUE
"20",212030,"Milos","Greece","Stratovolcano(es)","Eruption Dated","140 CE","Mediterranean and Western Asia","Greece",36.699,24.439,751,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,24.439,36.699,TRUE
"1431",210803,"Apuseni Mountains","Romania","Volcanic field",NA,NA,"Mediterranean and Western Asia","Western Europe",45.93,22.88,353,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,22.88,45.93,TRUE
"1432",210804,"Lucaret Basalts","Romania","Fissure vent",NA,NA,"Mediterranean and Western Asia","Western Europe",45.826,21.69,190,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,21.69,45.826,TRUE
"1443",211800,"Amiata","Italy","Lava dome(s)",NA,NA,"Mediterranean and Western Asia","Italy",42.9,11.63,1738,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,11.63,42.9,TRUE
"1444",211801,"Radicofani","Italy","Volcanic remnant",NA,NA,"Mediterranean and Western Asia","Italy",42.87,11.77,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,11.77,42.87,TRUE
"1445",211802,"Torre Alfina","Italy","Volcanic remnant",NA,NA,"Mediterranean and Western Asia","Italy",42.78,11.92,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,11.92,42.78,TRUE
"1446",211803,"San Venanzo","Italy","Maar",NA,NA,"Mediterranean and Western Asia","Italy",42.85,12.28,466,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.28,42.85,TRUE
"1447",211804,"Acquasparta","Italy","Volcanic field",NA,NA,"Mediterranean and Western Asia","Italy",42.65,12.3,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.3,42.65,TRUE
"1448",211805,"Polino","Italy","Explosion crater(s)",NA,NA,"Mediterranean and Western Asia","Italy",42.57,12.82,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.82,42.57,TRUE
"1449",211806,"Cupaello","Italy","Pyroclastic cone",NA,NA,"Mediterranean and Western Asia","Italy",42.43,12.93,650,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.93,42.43,TRUE
"1450",211807,"Oricola-Carsoli","Italy","Pyroclastic cone(s)",NA,NA,"Mediterranean and Western Asia","Italy",42.15,13.08,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.08,42.15,TRUE
"1451",211808,"Vico-Cimino Complex","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",42.367,12.188,1053,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.188,42.367,TRUE
"1452",211809,"Sabatini Complex","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",42.17,12.22,612,NA,"Unknown","Pleistocene",NA,NA,NA,12.22,42.17,TRUE
"1453",211810,"Ernici, Monti","Italy","Volcanic field",NA,NA,"Mediterranean and Western Asia","Italy",41.58,13.33,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.33,41.58,TRUE
"1454",211811,"Roccamonfina","Italy","Stratovolcano",NA,NA,"Mediterranean and Western Asia","Italy",41.3,13.93,1066,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.93,41.3,TRUE
"1455",211812,"Vulture, Monte","Italy","Stratovolcano",NA,NA,"Mediterranean and Western Asia","Italy",40.92,15.67,1330,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,15.67,40.92,TRUE
"1456",211813,"Ventotene","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",40.8,13.42,139,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",52.611484530062,-374.972442539564,154.392542516678,13.42,40.8,TRUE
"1457",211814,"Pontine Islands","Italy","Lava dome(s)",NA,NA,"Mediterranean and Western Asia","Italy",40.9,12.95,283,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",46.5341453670213,-410.076538008308,144.819061282696,12.95,40.9,TRUE
"1458",211815,"Logudoro","Italy","Volcanic field",NA,NA,"Mediterranean and Western Asia","Italy",40.58,8.67,0,NA,"Unknown","Pleistocene",NA,NA,NA,8.67,40.58,TRUE
"1459",211816,"Salina","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",38.58,14.85,962,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",68.0011545775641,-179.483683361254,243.991246516632,14.85,38.58,TRUE
"1460",211817,"Filicudi","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",38.58,14.55,773,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",68.856419871361,-205.687011829536,248.065322848646,14.55,38.58,TRUE
"1461",211818,"Alicudi","Italy","Stratovolcano",NA,NA,"Mediterranean and Western Asia","Italy",38.55,14.33,675,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",70.4224827962862,-213.969411339076,251.405019096555,14.33,38.55,TRUE
"1462",211819,"Ustica","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",38.72,13.18,248,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",65.4741643169719,-324.306939160324,271.267581502728,13.18,38.72,TRUE
