"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1003",334020,"Northern EPR at 17°N","Undersea Features","Submarine","Eruption Dated","50 BCE","Hawaii and Pacific Ocean","Pacific Ocean (eastern)",16.55,-105.32,-2700,"Basalt / Picro-Basalt","Rift zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-105.32,16.55,TRUE
"1004",334021,"Northern EPR at 16°N","Undersea Features","Submarine","Eruption Dated","50 BCE","Hawaii and Pacific Ocean","Pacific Ocean (eastern)",15.83,-105.43,-2300,"Basalt / Picro-Basalt","Rift zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-105.43,15.83,TRUE
"1005",334040,"Northern EPR at 10.7°N","Undersea Features","Submarine","Eruption Observed","2003 CE","Hawaii and Pacific Ocean","Pacific Ocean (eastern)",10.73,-103.58,-2900,"Basalt / Picro-Basalt","Intraplate / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-103.58,10.73,TRUE
"1006",334050,"Northern EPR at 9.8°N","Undersea Features","Submarine","Eruption Observed","2006 CE","Hawaii and Pacific Ocean","Pacific Ocean (eastern)",9.83,-104.3,-2500,"Basalt / Picro-Basalt","Rift zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-104.3,9.83,TRUE
"1022",341011,"Tortuga, Isla","Mexico","Shield","Evidence Credible","Unknown","México and Central America","Mexico",27.438,-111.881,224,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-111.881,27.438,TRUE
"1023",341012,"Comondu-La Purisima","Mexico","Volcanic field","Evidence Uncertain","Unknown","México and Central America","Mexico",26,-111.92,780,"Trachyandesite / Basaltic Trachyandesite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-111.92,26,TRUE
"1024",341020,"Barcena","Mexico","Pyroclastic cone(s)","Eruption Observed","1953 CE","México and Central America","Mexico",19.3,-110.82,332,"Trachyte / Trachydacite","Rift zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-110.82,19.3,TRUE
"1025",341021,"Socorro","Mexico","Shield","Eruption Observed","1994 CE","México and Central America","Mexico",18.78,-110.95,1050,"Trachyte / Trachydacite","Rift zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-110.95,18.78,TRUE
"1026",341022,"Durango Volcanic Field","Mexico","Pyroclastic cone(s)","Evidence Credible","Unknown","México and Central America","Mexico",24.15,-104.45,2075,"Trachybasalt / Tephrite Basanite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-104.45,24.15,TRUE
"1027",341023,"Isabel, Isla","Mexico","Tuff cone(s)","Evidence Uncertain","Unknown","México and Central America","Mexico",21.848,-105.886,95,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-105.886,21.848,TRUE
"1028",341024,"Sanganguey","Mexico","Stratovolcano","Evidence Credible","Unknown","México and Central America","Mexico",21.45,-104.73,2340,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-104.73,21.45,TRUE
"1029",341030,"Ceboruco","Mexico","Stratovolcano","Eruption Observed","1875 CE","México and Central America","Mexico",21.125,-104.508,2280,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-104.508,21.125,TRUE
"1030",341031,"Mascota Volcanic Field","Mexico","Pyroclastic cone(s)","Evidence Credible","Unknown","México and Central America","Mexico",20.62,-104.83,2560,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",26.9121780395508,-61.5744018554688,331.409149169922,-104.83,20.62,TRUE
"1031",341040,"Colima","Mexico","Stratovolcano(es)","Eruption Observed","2019 CE","México and Central America","Mexico",19.514,-103.62,3850,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",46.6385917663574,-108.711853027344,315.635772705078,-103.62,19.514,TRUE
"1032",341060,"Michoacan-Guanajuato","Mexico","Pyroclastic cone(s)","Eruption Observed","1952 CE","México and Central America","Mexico",19.85,-101.75,3860,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",51.4894828796387,-162.456909179688,248.209045410156,-101.75,19.85,TRUE
"1033",341061,"Zitacuaro-Valle de Bravo","Mexico","Caldera","Eruption Dated","3050 BCE","México and Central America","Mexico",19.4,-100.25,3500,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",42.975658416748,-73.5685501098633,283.562530517578,-100.25,19.4,TRUE
"1034",341062,"Jocotitlan","Mexico","Stratovolcano","Eruption Dated","1270 CE","México and Central America","Mexico",19.73,-99.758,3900,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",63.0614891052246,-150.466613769531,290.557708740234,-99.758,19.73,TRUE
"1035",341070,"Toluca, Nevado de","Mexico","Stratovolcano","Eruption Dated","1350 BCE","México and Central America","Mexico",19.108,-99.758,4680,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",35.8597297668457,-62.4173583984375,297.841094970703,-99.758,19.108,TRUE
"1036",341080,"Chichinautzin","Mexico","Volcanic field","Eruption Dated","400 CE","México and Central America","Mexico",19.08,-99.13,3930,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",49.2415428161621,-85.5111312866211,288.490478515625,-99.13,19.08,TRUE
"1037",341081,"Papayo","Mexico","Lava dome","Evidence Credible","Unknown","México and Central America","Mexico",19.308,-98.7,3600,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",62.256031036377,-145.331649780273,291.569244384766,-98.7,19.308,TRUE
