"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1127",351011,"Romeral","Colombia","Stratovolcano","Eruption Dated","5390 BCE","South America","Colombia",5.203,-75.363,3769,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-75.363,5.203,TRUE
"1128",351012,"Bravo, Cerro","Colombia","Stratovolcano","Eruption Dated","1720 CE","South America","Colombia",5.091,-75.293,3985,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-75.293,5.091,TRUE
"1129",351020,"Ruiz, Nevado del","Colombia","Stratovolcano","Eruption Observed","2019 CE","South America","Colombia",4.892,-75.324,5279,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-75.324,4.892,TRUE
"1130",351021,"Santa Isabel","Colombia","Shield","Eruption Dated","850 BCE","South America","Colombia",4.818,-75.365,4944,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-75.365,4.818,TRUE
"1131",351030,"Tolima, Nevado del","Colombia","Stratovolcano","Eruption Observed","1943 CE","South America","Colombia",4.658,-75.33,5215,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-75.33,4.658,TRUE
"1132",351040,"Machin","Colombia","Stratovolcano","Eruption Dated","1180 CE","South America","Colombia",4.487,-75.389,2749,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-75.389,4.487,TRUE
"1315",360010,"Saba","Netherlands","Stratovolcano","Eruption Observed","1640 CE","West Indies","West Indies",17.63,-63.23,887,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",39.2657775878906,-81.9208297729492,119.989097595215,-63.23,17.63,TRUE
"1316",360020,"Quill, The","Netherlands","Stratovolcano","Eruption Dated","250 CE","West Indies","West Indies",17.478,-62.96,601,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",38.0950012207031,-81.8090057373047,121.985565185547,-62.96,17.478,TRUE
"1317",360030,"Liamuiga","Saint Kitts and Nevis","Stratovolcano","Eruption Dated","160 CE","West Indies","West Indies",17.37,-62.8,1156,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",37.5578956604004,-82.6523513793945,125.132278442383,-62.8,17.37,TRUE
"1318",360040,"Nevis Peak","Saint Kitts and Nevis","Stratovolcano","Evidence Uncertain","Unknown","West Indies","West Indies",17.15,-62.58,985,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",37.9188499450684,-86.1895751953125,131.781066894531,-62.58,17.15,TRUE
"1319",360050,"Soufriere Hills","United Kingdom","Stratovolcano","Eruption Observed","2013 CE","West Indies","West Indies",16.72,-62.18,915,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",39.1172676086426,-88.045051574707,139.870697021484,-62.18,16.72,TRUE
"1320",360060,"Soufriere Guadeloupe","France","Stratovolcano","Eruption Observed","1977 CE","West Indies","West Indies",16.044,-61.664,1467,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",39.9653778076172,-88.9468002319336,144.472854614258,-61.664,16.044,TRUE
"1321",360080,"Diables, Morne aux","Dominica","Lava dome(s)","Evidence Credible","Unknown","West Indies","West Indies",15.612,-61.43,861,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",40.7341804504395,-93.7284393310547,150.613372802734,-61.43,15.612,TRUE
"1322",360090,"Diablotins, Morne","Dominica","Stratovolcano","Evidence Uncertain","Unknown","West Indies","West Indies",15.503,-61.397,1430,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.0848960876465,-96.2478561401367,153.79443359375,-61.397,15.503,TRUE
"1323",360100,"Trois Pitons, Morne","Dominica","Complex","Eruption Dated","920 CE","West Indies","West Indies",15.37,-61.33,1387,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",40.8621673583984,-95.7957153320312,158.466766357422,-61.33,15.37,TRUE
"1324",360101,"Watt, Morne","Dominica","Stratovolcano(es)","Eruption Observed","1997 CE","West Indies","West Indies",15.307,-61.305,1224,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",40.6936531066895,-95.1253433227539,160.930633544922,-61.305,15.307,TRUE
"1325",360110,"Plat Pays, Morne","Dominica","Stratovolcano","Eruption Dated","1270 CE","West Indies","West Indies",15.255,-61.341,940,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.267993927002,-99.611457824707,162.328674316406,-61.341,15.255,TRUE
"1326",360120,"Pelee","France","Stratovolcano","Eruption Observed","1932 CE","West Indies","West Indies",14.809,-61.165,1394,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",39.037727355957,-91.7565155029297,177.006378173828,-61.165,14.809,TRUE
"1327",360140,"Qualibou","Saint Lucia","Caldera","Eruption Observed","1766 CE","West Indies","West Indies",13.83,-61.05,777,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",30.4108562469482,-75.7172622680664,187.829711914062,-61.05,13.83,TRUE
"1328",360150,"Soufriere St. Vincent","Saint Vincent and the Grenadines","Stratovolcano","Eruption Observed","1979 CE","West Indies","West Indies",13.33,-61.18,1220,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",32.5296211242676,-80.2619705200195,187.892303466797,-61.18,13.33,TRUE
"1329",360160,"Kick 'em Jenny","Grenada","Submarine","Eruption Observed","2017 CE","West Indies","West Indies",12.3,-61.64,-185,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",34.5856094360352,-81.9944458007812,214.343353271484,-61.64,12.3,TRUE
"1330",360170,"St. Catherine","Grenada","Stratovolcano","Evidence Credible","Unknown","West Indies","West Indies",12.15,-61.67,840,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",32.9714088439941,-77.591194152832,215.304626464844,-61.67,12.15,TRUE
"2452",351001,"San Diego","Colombia","Maar",NA,NA,"South America","Colombia",5.65,-74.961,1163,NA,"","Pleistocene",NA,NA,NA,-74.961,5.65,TRUE
"2453",351002,"Escondido, El","Colombia","Lava dome",NA,NA,"South America","Colombia",5.514,-75.043,1620,NA,"","Pleistocene",NA,NA,NA,-75.043,5.514,TRUE
"2454",351800,"Santa Rosa","Colombia","Shield",NA,NA,"South America","Colombia",4.8,-75.458,4584,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-75.458,4.8,TRUE
"2455",351801,"Quindio, Nevado del","Colombia","Stratovolcano",NA,NA,"South America","Colombia",4.701,-75.386,4756,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-75.386,4.701,TRUE
"2586",360800,"Vigie, Morne la","Haiti","Pyroclastic cone",NA,NA,"West Indies","West Indies",18.78,-72.28,831,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-72.28,18.78,TRUE
