"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"926",320110,"Crow Lagoon","Canada","Pyroclastic cone","Evidence Credible","Unknown","Canada and Western USA","Canada",54.7,-130.23,335,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,-130.23,54.7,TRUE
"927",320120,"Milbanke Sound Group","Canada","Pyroclastic cone(s)","Evidence Credible","Unknown","Canada and Western USA","Canada",52.5,-128.73,335,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,-128.73,52.5,TRUE
"928",320140,"Nazko","Canada","Pyroclastic cone(s)","Eruption Dated","5220 BCE","Canada and Western USA","Canada",52.928,-123.732,1238,"Trachybasalt / Tephrite Basanite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,-123.732,52.928,TRUE
"929",320150,"Wells Gray-Clearwater","Canada","Pyroclastic cone(s)","Eruption Dated","1550 CE","Canada and Western USA","Canada",52.33,-120.57,2576,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,-120.57,52.33,TRUE
"930",320160,"Silverthrone","Canada","Caldera","Evidence Credible","Unknown","Canada and Western USA","Canada",51.43,-126.3,3160,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-126.3,51.43,TRUE
"931",320170,"Bridge River Cones","Canada","Volcanic field","Evidence Credible","Unknown","Canada and Western USA","Canada",50.8,-123.4,2500,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-123.4,50.8,TRUE
"932",320180,"Meager","Canada","Complex","Eruption Dated","410 BCE","Canada and Western USA","Canada",50.63,-123.5,2680,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-123.5,50.63,TRUE
"933",320190,"Garibaldi Lake","Canada","Volcanic field","Evidence Credible","Unknown","Canada and Western USA","Canada",49.933,-123,2316,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",41.5165481567383,-90.9886856079102,325.796295166016,-123,49.933,TRUE
"934",320200,"Garibaldi","Canada","Stratovolcano","Eruption Dated","8060 BCE","Canada and Western USA","Canada",49.85,-123,2678,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",40.190185546875,-86.4709625244141,325.787719726562,-123,49.85,TRUE
"935",320811,"Cayley Volcanic Field","Canada","Volcanic field","Evidence Credible","Unknown","Canada and Western USA","Canada",50.12,-123.28,2375,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-123.28,50.12,TRUE
"936",321010,"Baker","United States","Stratovolcano(es)","Eruption Observed","1880 CE","Canada and Western USA","USA (Washington)",48.777,-121.813,3285,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",42.283863067627,-94.8283996582031,332.894073486328,-121.813,48.777,TRUE
"937",321020,"Glacier Peak","United States","Stratovolcano","Eruption Dated","1700 CE","Canada and Western USA","USA (Washington)",48.112,-121.113,3213,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",48.535945892334,-115.380828857422,348.998413085938,-121.113,48.112,TRUE
"938",321030,"Rainier","United States","Stratovolcano","Eruption Dated","1450 CE","Canada and Western USA","USA (Washington)",46.853,-121.76,4392,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",35.9246597290039,-71.6955718994141,7.16370582580566,-121.76,46.853,TRUE
"939",321040,"Adams","United States","Stratovolcano","Eruption Dated","950 CE","Canada and Western USA","USA (Washington)",46.206,-121.49,3742,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",54.7906227111816,-109.807510375977,10.9473400115967,-121.49,46.206,TRUE
"940",321050,"St. Helens","United States","Stratovolcano","Eruption Observed","2008 CE","Canada and Western USA","USA (Washington)",46.2,-122.18,2549,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",30.5710124969482,-61.2120742797852,13.3273296356201,-122.18,46.2,TRUE
"941",321060,"West Crater","United States","Volcanic field","Eruption Dated","5750 BCE","Canada and Western USA","USA (Washington)",45.88,-122.08,1329,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",38.9946212768555,-71.5229415893555,8.27223968505859,-122.08,45.88,TRUE
"942",321070,"Indian Heaven","United States","Shield(s)","Eruption Dated","6250 BCE","Canada and Western USA","USA (Washington)",45.93,-121.82,1806,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",43.2120742797852,-88.0375137329102,12.2789115905762,-121.82,45.93,TRUE
"943",322010,"Hood","United States","Stratovolcano","Eruption Observed","1866 CE","Canada and Western USA","USA (Oregon)",45.374,-121.695,3426,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",48.8614349365234,-104.521240234375,6.33621215820312,-121.695,45.374,TRUE
"944",322020,"Jefferson","United States","Stratovolcano","Eruption Dated","950 CE","Canada and Western USA","USA (Oregon)",44.674,-121.8,3199,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",57.3783798217773,-106.298759460449,3.27964234352112,-121.8,44.674,TRUE
"945",322030,"Blue Lake Crater","United States","Maar","Eruption Dated","680 CE","Canada and Western USA","USA (Oregon)",44.411,-121.774,1230,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",58.1608619689941,-111.830757141113,0.284087598323822,-121.774,44.411,TRUE
"946",322040,"Sand Mountain Field","United States","Pyroclastic cone(s)","Eruption Dated","950 BCE","Canada and Western USA","USA (Oregon)",44.38,-121.93,1664,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",52.6999320983887,-92.5663833618164,1.99070477485657,-121.93,44.38,TRUE
"947",322060,"Belknap","United States","Shield(s)","Eruption Dated","480 CE","Canada and Western USA","USA (Oregon)",44.285,-121.841,2095,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",55.2065010070801,-103.859771728516,0.753350257873535,-121.841,44.285,TRUE
"948",322070,"Three Sisters","United States","Complex","Eruption Dated","440 CE","Canada and Western USA","USA (Oregon)",44.133,-121.767,3159,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",56.1060409545898,-111.936553955078,0.964203178882599,-121.767,44.133,TRUE
"949",322090,"Bachelor","United States","Stratovolcano","Eruption Dated","5800 BCE","Canada and Western USA","USA (Oregon)",43.979,-121.688,2763,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",57.9564247131348,-122.871734619141,2.3148181438446,-121.688,43.979,TRUE
"950",322100,"Davis Lake","United States","Volcanic field","Eruption Dated","2790 BCE","Canada and Western USA","USA (Oregon)",43.57,-121.82,2163,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",53.2466850280762,-114.135215759277,8.09041023254395,-121.82,43.57,TRUE
"951",322110,"Newberry","United States","Shield","Eruption Dated","690 CE","Canada and Western USA","USA (Oregon)",43.722,-121.229,2434,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",65.9439697265625,-197.519668579102,4.03881311416626,-121.229,43.722,TRUE
"952",322120,"Devils Garden","United States","Volcanic field","Evidence Uncertain","Unknown","Canada and Western USA","USA (Oregon)",43.512,-120.861,1698,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)","Holocene",66.1775054931641,-267.817260742188,4.26842021942139,-120.861,43.512,TRUE
"953",322150,"Cinnamon Butte","United States","Pyroclastic cone(s)","Evidence Uncertain","Unknown","Canada and Western USA","USA (Oregon)",43.241,-122.108,1956,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",41.4371070861816,-96.4124755859375,13.6686029434204,-122.108,43.241,TRUE
"954",322160,"Crater Lake","United States","Caldera","Eruption Dated","2850 BCE","Canada and Western USA","USA (Oregon)",42.93,-122.12,2487,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",36.6202125549316,-101.794380187988,12.6026735305786,-122.12,42.93,TRUE
"955",322170,"Diamond Craters","United States","Volcanic field","Eruption Dated","5610 BCE","Canada and Western USA","USA (Oregon)",43.1,-118.75,1435,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-118.75,43.1,TRUE
"956",322190,"Jordan Craters","United States","Volcanic field","Eruption Dated","1250 BCE","Canada and Western USA","USA (Oregon)",43.147,-117.46,1473,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-117.46,43.147,TRUE
"957",323010,"Shasta","United States","Stratovolcano","Eruption Observed","1250 CE","Canada and Western USA","USA (California)",41.409,-122.193,4317,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",34.4827613830566,-94.2136306762695,344.679534912109,-122.193,41.409,TRUE
"958",323020,"Medicine Lake","United States","Shield","Eruption Dated","1060 CE","Canada and Western USA","USA (California)",41.611,-121.554,2412,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",57.4405937194824,-150.955368041992,5.67316961288452,-121.554,41.611,TRUE
"959",323080,"Lassen Volcanic Center","United States","Stratovolcano","Eruption Observed","1917 CE","Canada and Western USA","USA (California)",40.492,-121.508,3187,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",58.8504791259766,-144.290145874023,350.947204589844,-121.508,40.492,TRUE
"960",323100,"Clear Lake","United States","Volcanic field","Evidence Credible","Unknown","Canada and Western USA","USA (California)",38.97,-122.77,1439,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-122.77,38.97,TRUE
"961",323110,"Mono Lake Volcanic Field","United States","Pyroclastic cone(s)","Eruption Dated","1790 CE","Canada and Western USA","USA (California)",38,-119.03,2121,"Dacite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-119.03,38,TRUE
"962",323120,"Mono-Inyo Craters","United States","Lava dome(s)","Eruption Dated","1380 CE","Canada and Western USA","USA (California)",37.804,-119.029,2796,"Rhyolite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-119.029,37.804,TRUE
"963",323150,"Mammoth Mountain","United States","Lava dome(s)","Eruption Dated","1260 CE","Canada and Western USA","USA (California)",37.631,-119.032,3369,"Trachyte / Trachydacite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,-119.032,37.631,TRUE
