file, number, actualisation
AEGEAN ARC.csv,	 1716 	, 10/2/2019
AEOLIAN ARC.csv,	1996	, 10/2/2019
ALEUTIAN ARC.csv,	2893	, 10/2/2019
ALISITOS ARC.csv,	52	, 10/2/2019
ANDEAN ARC part1.csv,	6726	, 10/2/2019
ANDEAN ARC part2.csv,	7489	, 10/2/2019
APENNINIC-MAGHREBIDES CHAIN.csv,	10057	, 10/2/2019
BANDA ARC.csv,	366	, 10/2/2019
BETIC-RIF OROGENIC BELT OR GIBRALTAR ARC.csv,	790	, 10/2/2019
BISMARCK ARC - NEW BRITAIN ARC.csv,	1392	, 10/2/2019
CASCADES.csv,	4108	, 10/2/2019
CENTRAL AMERICAN VOLCANIC ARC.csv,	4043	, 10/2/2019
CHAGAI-RASKOH ARC.csv,	22	, 10/2/2019
CHUGACH ACCRETIONARY COMPLEX.csv,	31	, 10/2/2019
GREATER ANTILLES.csv,	1299	, 10/2/2019
HALMAHERA ARC.csv,	40	, 10/2/2019
HONSHU ARC part1.csv,	9273	, 10/2/2019
HONSHU ARC part2.csv,	6018	, 10/2/2019
IZU-BONIN ARC.csv,	7853	, 10/2/2019
KAMCHATKA ARC.csv,	4434	, 10/2/2019
KERMADEC ARC.csv,	533	, 10/2/2019
KOHISTAN-LADAKH TERRANE OR GANGDISE BELT.csv,	875	, 10/2/2019
KURILE ARC.csv,	2657	, 10/2/2019
LESSER ANTILLES.csv,	2757	, 10/2/2019
LIGURIA-SARDO-TYRRHENIAN ARC.csv,	1383	, 10/2/2019
LUZON ARC.csv,	1354	, 10/2/2019
MARIANA ARC.csv,	1996	, 10/2/2019
MEXICAN VOLCANIC BELTS.csv,	4885	, 10/2/2019
MIDDLE AMERICA TRENCH - GUATEMALA TRENCH.csv,	115	, 10/2/2019
NEW CALEDONIA.csv,	50	, 10/2/2019
NEW HEBRIDES ARC - VANUATU ARCHIPELAGO.csv,	1214	, 10/2/2019
NEW ZEALAND.csv,	4418	, 10/2/2019
OKHOTSK-CHUKOTKA ARC.csv,	207	, 10/2/2019
RYUKYU ARC.csv,	2445	, 10/2/2019
SCOTIA ARC.csv,	1197	, 10/2/2019
SIERRA NEVADA MAGMATIC ARC.csv,	69	, 10/2/2019
SIKHOTE-ALIN-SAKHALIN ARC.csv,	516	, 10/2/2019
SOLOMON ISLAND ARC.csv,	406	, 10/2/2019
SULAWESI ARC.csv,	499	, 10/2/2019
SUNDA ARC.csv,	1888	, 10/2/2019
TALKEETNA ARC.csv,	83	, 10/2/2019
TONGA ARC.csv,	2809	, 10/2/2019
WESTERN ALPS.csv,	33	, 10/2/2019
YAP ARC.csv, 134 , 10/2/2019
