"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"6",211004,"Colli Albani","Italy","Caldera","Evidence Uncertain","Unknown","Mediterranean and Western Asia","Italy",41.73,12.7,949,"Foidite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,12.7,41.73,TRUE
"7",211010,"Campi Flegrei","Italy","Caldera","Eruption Observed","1538 CE","Mediterranean and Western Asia","Italy",40.827,14.139,458,"Trachyte / Trachydacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,14.139,40.827,TRUE
"8",211020,"Vesuvius","Italy","Stratovolcano","Eruption Observed","1944 CE","Mediterranean and Western Asia","Italy",40.821,14.426,1281,"Phono-tephrite /  Tephri-phonolite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,14.426,40.821,TRUE
"9",211030,"Ischia","Italy","Complex","Eruption Observed","1302 CE","Mediterranean and Western Asia","Italy",40.73,13.897,789,"Trachyte / Trachydacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,13.897,40.73,TRUE
"10",211031,"Palinuro","Italy","Submarine","Eruption Dated","8040 BCE","Mediterranean and Western Asia","Italy",39.48,14.83,-70,"Phonolite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,14.83,39.48,TRUE
"11",211040,"Stromboli","Italy","Stratovolcano","Eruption Observed","2019 CE","Mediterranean and Western Asia","Italy",38.789,15.213,924,"Trachyandesite / Basaltic Trachyandesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,15.213,38.789,TRUE
"12",211041,"Panarea","Italy","Stratovolcano","Evidence Uncertain","Unknown","Mediterranean and Western Asia","Italy",38.638,15.064,399,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,15.064,38.638,TRUE
"13",211042,"Lipari","Italy","Stratovolcano(es)","Eruption Dated","1230 CE","Mediterranean and Western Asia","Italy",38.49,14.933,590,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,14.933,38.49,TRUE
"14",211050,"Vulcano","Italy","Stratovolcano(es)","Eruption Observed","1890 CE","Mediterranean and Western Asia","Italy",38.404,14.962,500,"Trachybasalt / Tephrite Basanite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,14.962,38.404,TRUE
"15",211060,"Etna","Italy","Stratovolcano(es)","Eruption Observed","2019 CE","Mediterranean and Western Asia","Italy",37.748,14.999,3295,"Trachybasalt / Tephrite Basanite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,14.999,37.748,TRUE
"16",211070,"Campi Flegrei del Mar di Sicilia","Italy","Submarine","Eruption Observed","1867 CE","Mediterranean and Western Asia","Italy",37.1,12.7,-8,"Trachybasalt / Tephrite Basanite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,12.7,37.1,TRUE
"17",211071,"Pantelleria","Italy","Shield","Eruption Observed","1891 CE","Mediterranean and Western Asia","Italy",36.77,12.02,836,"Rhyolite","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,12.02,36.77,TRUE
"18",211080,"Marsili","Italy","Submarine","Eruption Dated","1050 BCE","Mediterranean and Western Asia","Italy",39.284,14.399,-779,"","","Holocene",NA,NA,NA,14.399,39.284,TRUE
"19",212020,"Methana","Greece","Lava dome(s)","Eruption Observed","258 BCE","Mediterranean and Western Asia","Greece",37.615,23.336,760,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",38.1790809631348,-90.2210464477539,332.190307617188,23.336,37.615,TRUE
"20",212030,"Milos","Greece","Stratovolcano(es)","Eruption Dated","140 CE","Mediterranean and Western Asia","Greece",36.699,24.439,751,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",25.047758102417,-88.6588516235352,303.675415039062,24.439,36.699,TRUE
"21",212040,"Santorini","Greece","Shield(s)","Eruption Observed","1950 CE","Mediterranean and Western Asia","Greece",36.404,25.396,367,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",24.16357421875,-97.8639297485352,300.529296875,25.396,36.404,TRUE
"22",212050,"Nisyros","Greece","Stratovolcano","Eruption Observed","1888 CE","Mediterranean and Western Asia","Greece",36.586,27.16,698,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",41.0517158508301,-98.3115997314453,237.620864868164,27.16,36.586,TRUE
"23",212051,"Yali","Greece","Lava dome(s)","Evidence Credible","Unknown","Mediterranean and Western Asia","Greece",36.671,27.14,180,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",42.4650993347168,-106.762489318848,239.163558959961,27.14,36.671,TRUE
"24",213000,"Kula","Turkey","Pyroclastic cone(s)","Evidence Credible","Unknown","Mediterranean and Western Asia","Turkey",38.58,28.52,750,"Trachybasalt / Tephrite Basanite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,28.52,38.58,TRUE
"25",213001,"Karapinar Field","Turkey","Pyroclastic cone(s)","Evidence Credible","Unknown","Mediterranean and Western Asia","Turkey",37.667,33.6,1302,"Trachyandesite / Basaltic Trachyandesite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,33.6,37.667,TRUE
"26",213002,"Hasan Dagi","Turkey","Stratovolcano","Evidence Credible","Unknown","Mediterranean and Western Asia","Turkey",38.13,34.17,3253,"Dacite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,34.17,38.13,TRUE
"27",213003,"Gollu Dag","Turkey","Lava dome","Evidence Uncertain","Unknown","Mediterranean and Western Asia","Turkey",38.25,34.57,2143,"Rhyolite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,34.57,38.25,TRUE
"28",213004,"Acigol-Nevsehir","Turkey","Caldera","Eruption Dated","2080 BCE","Mediterranean and Western Asia","Turkey",38.537,34.621,1683,"Rhyolite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,34.621,38.537,TRUE
"29",213010,"Erciyes Dagi","Turkey","Stratovolcano","Eruption Dated","6880 BCE","Mediterranean and Western Asia","Turkey",38.531,35.447,3864,"Dacite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,35.447,38.531,TRUE
"30",213011,"Karaca Dag","Turkey","Shield","Evidence Credible","Unknown","Mediterranean and Western Asia","Turkey",37.67,39.83,1957,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,39.83,37.67,TRUE
"164",230010,"Sharat Kovakab","Syria","Volcanic field","Evidence Credible","Unknown","Middle East and Indian Ocean","Middle East (western)",36.53,40.85,534,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,40.85,36.53,TRUE
"165",231001,"Harrat Ash Shamah","Syria-Jordan-Saudi Arabia","Volcanic field","Eruption Observed","1850 CE","Middle East and Indian Ocean","Middle East (western)",32.333,37.583,1100,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,37.583,32.333,TRUE
"166",231010,"Rahah, Harrat ar","Saudi Arabia","Volcanic field","Evidence Credible","Unknown","Middle East and Indian Ocean","Middle East (southern)",27.8,36.17,1950,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,36.17,27.8,TRUE
"167",231020,"Uwayrid, Harrat","Saudi Arabia","Volcanic field","Eruption Dated","640 CE","Middle East and Indian Ocean","Middle East (southern)",27.08,37.25,1920,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,37.25,27.08,TRUE
"169",231050,"Ithnayn, Harrat","Saudi Arabia","Volcanic field","Evidence Credible","Unknown","Middle East and Indian Ocean","Middle East (southern)",26.58,40.2,1625,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,40.2,26.58,TRUE
"1446",211803,"San Venanzo","Italy","Maar",NA,NA,"Mediterranean and Western Asia","Italy",42.85,12.28,466,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.28,42.85,TRUE
"1447",211804,"Acquasparta","Italy","Volcanic field",NA,NA,"Mediterranean and Western Asia","Italy",42.65,12.3,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.3,42.65,TRUE
"1448",211805,"Polino","Italy","Explosion crater(s)",NA,NA,"Mediterranean and Western Asia","Italy",42.57,12.82,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.82,42.57,TRUE
"1449",211806,"Cupaello","Italy","Pyroclastic cone",NA,NA,"Mediterranean and Western Asia","Italy",42.43,12.93,650,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.93,42.43,TRUE
"1450",211807,"Oricola-Carsoli","Italy","Pyroclastic cone(s)",NA,NA,"Mediterranean and Western Asia","Italy",42.15,13.08,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.08,42.15,TRUE
"1451",211808,"Vico-Cimino Complex","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",42.367,12.188,1053,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.188,42.367,TRUE
"1452",211809,"Sabatini Complex","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",42.17,12.22,612,NA,"Unknown","Pleistocene",NA,NA,NA,12.22,42.17,TRUE
"1453",211810,"Ernici, Monti","Italy","Volcanic field",NA,NA,"Mediterranean and Western Asia","Italy",41.58,13.33,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.33,41.58,TRUE
"1454",211811,"Roccamonfina","Italy","Stratovolcano",NA,NA,"Mediterranean and Western Asia","Italy",41.3,13.93,1066,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.93,41.3,TRUE
"1455",211812,"Vulture, Monte","Italy","Stratovolcano",NA,NA,"Mediterranean and Western Asia","Italy",40.92,15.67,1330,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,15.67,40.92,TRUE
"1456",211813,"Ventotene","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",40.8,13.42,139,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.42,40.8,TRUE
"1457",211814,"Pontine Islands","Italy","Lava dome(s)",NA,NA,"Mediterranean and Western Asia","Italy",40.9,12.95,283,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.95,40.9,TRUE
"1459",211816,"Salina","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",38.58,14.85,962,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,14.85,38.58,TRUE
"1460",211817,"Filicudi","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",38.58,14.55,773,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,14.55,38.58,TRUE
"1461",211818,"Alicudi","Italy","Stratovolcano",NA,NA,"Mediterranean and Western Asia","Italy",38.55,14.33,675,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,14.33,38.55,TRUE
"1462",211819,"Ustica","Italy","Stratovolcano(es)",NA,NA,"Mediterranean and Western Asia","Italy",38.72,13.18,248,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.18,38.72,TRUE
"1463",211820,"Iblei","Italy","Shield?",NA,NA,"Mediterranean and Western Asia","Italy",37.117,14.821,825,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,14.821,37.117,TRUE
"1464",211821,"Linosa","Italy","Pyroclastic cone(s)",NA,NA,"Mediterranean and Western Asia","Italy",35.87,12.87,195,NA,"Rift zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,12.87,35.87,TRUE
"1465",211822,"Gaeta Bay Volcanic Field","Italy","Submarine",NA,NA,"Mediterranean and Western Asia","Italy",40.978,13.663,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,13.663,40.978,TRUE
"1466",212800,"Sporades","Greece","Lava dome",NA,NA,"Mediterranean and Western Asia","Greece",39.5,24.18,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,24.18,39.5,TRUE
"1467",212801,"Volos-Atalanti","Greece","Volcanic field",NA,NA,"Mediterranean and Western Asia","Greece",39.033,22.8,900,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",38.2380905151367,-95.9777450561523,344.870880126953,22.8,39.033,TRUE
"1468",212802,"Aegina","Greece","Volcanic field",NA,NA,"Mediterranean and Western Asia","Greece",37.75,23.5,530,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",45.1274719238281,-107.932289123535,333.05078125,23.5,37.75,TRUE
