"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"544",283010,"Izu-Tobu","Japan","Pyroclastic cone(s)","Eruption Observed","1989 CE","Japan, Taiwan, Marianas","Honshu",34.9,139.098,1406,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",43.0662651137552,-126.283309868692,165.331192001404,139.098,34.9,TRUE
"545",283020,"Hakoneyama","Japan","Complex","Eruption Dated","2015 CE","Japan, Taiwan, Marianas","Honshu",35.233,139.021,1438,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,139.021,35.233,TRUE
"546",283030,"Fujisan","Japan","Stratovolcano","Eruption Observed","1708 CE","Japan, Taiwan, Marianas","Honshu",35.361,138.728,3776,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,138.728,35.361,TRUE
"548",283040,"Ontakesan","Japan","Complex","Eruption Observed","2014 CE","Japan, Taiwan, Marianas","Honshu",35.893,137.48,3067,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,137.48,35.893,TRUE
"586",284010,"Izu-Oshima","Japan","Stratovolcano","Eruption Observed","1990 CE","Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.724,139.394,758,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.5800704880233,-105.496548910995,170.047541281074,139.394,34.724,TRUE
"587",284011,"Toshima","Japan","Stratovolcano","Eruption Dated","4550 BCE","Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.52,139.279,508,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.7094590921872,-117.294529329732,176.064458197263,139.279,34.52,TRUE
"588",284020,"Niijima","Japan","Lava dome(s)","Eruption Observed","886 CE","Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.397,139.27,432,"Rhyolite","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.6389808620732,-119.237909899282,177.839365635256,139.27,34.397,TRUE
"589",284030,"Kozushima","Japan","Lava dome(s)","Eruption Observed","838 CE","Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.219,139.153,572,"Rhyolite","Subduction zone / Oceanic crust (< 15 km)","Holocene",42.9600969869401,-129.70896905939,176.500595105308,139.153,34.219,TRUE
"590",284040,"Miyakejima","Japan","Stratovolcano","Eruption Observed","2010 CE","Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.094,139.526,775,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",38.2162539025843,-99.6056238324604,176.422220874457,139.526,34.094,TRUE
"591",284041,"Mikurajima","Japan","Stratovolcano","Eruption Dated","4100 BCE","Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.874,139.602,851,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",38.0090497143363,-96.8140614321341,172.093363458934,139.602,33.874,TRUE
