"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"228",242001,"Wright","New Zealand","Submarine(es)","Unrest / Holocene","Unknown","New Zealand to Fiji","Kermadec Islands",-31.85,-179.18,-900,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",49.3995361309291,-84.126352934517,202.467239383117,-179.18,-31.85,TRUE
"229",242005,"Havre Seamount","New Zealand","Submarine","Eruption Observed","2012 CE","New Zealand to Fiji","Kermadec Islands",-31.08,-179.033,-897,"","Subduction zone / Oceanic crust (< 15 km)","Holocene",56.195999567672,-114.480456870108,204.868260698673,-179.033,-31.08,TRUE
"230",242010,"Curtis Island","New Zealand","Submarine","Unrest / Holocene","Unknown","New Zealand to Fiji","Kermadec Islands",-30.543,-178.556,47,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",51.1235961875308,-89.0657424799937,202.53976440126,-178.556,-30.543,TRUE
"231",242021,"Macauley","New Zealand","Caldera","Eruption Dated","4360 BCE","New Zealand to Fiji","Kermadec Islands",-30.21,-178.475,238,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",51.7571669645556,-98.3553017338131,199.553324377318,-178.475,-30.21,TRUE
"232",242022,"Giggenbach","New Zealand","Submarine","Unrest / Holocene","Unknown","New Zealand to Fiji","Kermadec Islands",-30.036,-178.712,-65,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",57.071365776839,-137.257727704736,197.879192772101,-178.712,-30.036,TRUE
"233",242030,"Raoul Island","New Zealand","Stratovolcano","Eruption Observed","2006 CE","New Zealand to Fiji","Kermadec Islands",-29.27,-177.92,516,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.9151988492541,-73.7241719405676,196.154969959303,-177.92,-29.27,TRUE
"234",242050,"Monowai","New Zealand","Submarine","Eruption Observed","2012 CE","New Zealand to Fiji","Tonga Islands",-25.887,-177.188,-132,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",35.7081849748773,-73.1432444036243,183.142261090637,-177.188,-25.887,TRUE
"235",243001,"Unnamed","Undersea Features","Submarine","Unrest / Holocene","Unknown","New Zealand to Fiji","Tonga Islands",-24.8,-177.02,-385,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",33.1863021750088,-76.26031746905,191.40612792932,-177.02,-24.8,TRUE
"236",243010,"Unnamed","Tonga","Submarine","Eruption Observed","1932 CE","New Zealand to Fiji","Tonga Islands",-21.338,-175.65,-68,"No Data (checked)","Subduction zone / Oceanic crust (< 15 km)","Holocene",30.997138976001,-71.5536600712473,208.326731360745,-175.65,-21.338,TRUE
"237",243011,"Unnamed","Tonga","Submarine","Evidence Credible","Unknown","New Zealand to Fiji","Tonga Islands",-21.15,-175.75,-65,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",34.0736198395264,-83.4213180491518,206.876327510983,-175.75,-21.15,TRUE
"238",243030,"Unnamed","Tonga","Submarine","Eruption Observed","2017 CE","New Zealand to Fiji","Tonga Islands",-20.852,-175.55,-296,"No Data (checked)","Subduction zone / Oceanic crust (< 15 km)","Holocene",32.5661392193713,-80.7092819153172,205.065734862324,-175.55,-20.852,TRUE
"239",243040,"Hunga Tonga-Hunga Ha'apai","Tonga","Submarine","Eruption Observed","2015 CE","New Zealand to Fiji","Tonga Islands",-20.536,-175.382,114,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",32.3013487909744,-80.2203920091778,205.322796292921,-175.382,-20.536,TRUE
"240",243050,"Fonuafo'ou","Tonga","Submarine","Eruption Observed","1936 CE","New Zealand to Fiji","Tonga Islands",-20.32,-175.42,-17,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",34.6164499900327,-89.129731913344,205.682608710602,-175.42,-20.32,TRUE
"241",243060,"Tofua","Tonga","Caldera","Eruption Observed","2014 CE","New Zealand to Fiji","Tonga Islands",-19.75,-175.07,515,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",34.0619939159051,-84.1070861716768,201.017690013259,-175.07,-19.75,TRUE
"242",243061,"Kao","Tonga","Stratovolcano","Eruption Observed","1847 CE","New Zealand to Fiji","Tonga Islands",-19.668,-175.016,1009,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",34.0758099015382,-82.949936749699,199.342251237262,-175.016,-19.668,TRUE
"243",243070,"Lateiki","Tonga","Submarine","Eruption Observed","2019 CE","New Zealand to Fiji","Tonga Islands",-19.18,-174.87,43,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",35.8806457484089,-82.0675065604153,191.626632685584,-174.87,-19.18,TRUE
"244",243080,"Home Reef","Tonga","Submarine","Eruption Observed","2006 CE","New Zealand to Fiji","Tonga Islands",-18.992,-174.775,-10,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",35.3607470144749,-78.7647323437136,191.408752444606,-174.775,-18.992,TRUE
"245",243090,"Late","Tonga","Stratovolcano","Eruption Observed","1854 CE","New Zealand to Fiji","Tonga Islands",-18.806,-174.65,540,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",33.288425440289,-72.6766815049663,194.078598031628,-174.65,-18.806,TRUE
"246",243091,"Unnamed","Tonga","Submarine","Eruption Observed","2001 CE","New Zealand to Fiji","Tonga Islands",-18.325,-174.365,-40,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",29.7026822792834,-64.9895918010107,199.493006386839,-174.365,-18.325,TRUE
"247",243100,"Fonualei","Tonga","Stratovolcano","Eruption Observed","1957 CE","New Zealand to Fiji","Tonga Islands",-18.023,-174.317,188,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",29.7957062149765,-68.3933961544053,196.580473154266,-174.317,-18.023,TRUE
"248",243101,"Tafahi","Tonga","Stratovolcano","Evidence Uncertain","Unknown","New Zealand to Fiji","Tonga Islands",-15.85,-173.72,560,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",29.6308949732678,-45.0966656680767,153.837305687799,-173.72,-15.85,TRUE
"249",243102,"Curacoa","Tonga","Submarine","Eruption Observed","1979 CE","New Zealand to Fiji","Tonga Islands",-15.62,-173.67,-33,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",27.4375612347452,-35.3974316606041,146.417309220347,-173.67,-15.62,TRUE
"250",243110,"Niuafo'ou","Tonga","Shield","Eruption Observed","1985 CE","New Zealand to Fiji","Tonga Islands",-15.6,-175.63,260,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",45.8776588508086,-238.290486600663,161.555999753826,-175.63,-15.6,TRUE
"251",243111,"Dugong","Tonga","Submarine","Evidence Uncertain","Unknown","New Zealand to Fiji","Tonga Islands",-15.431,-175.725,-1170,"","","Holocene",44.625977415201,-242.001517349391,158.434361775004,-175.725,-15.431,TRUE
"252",243112,"Lobster","Tonga","Submarine","Evidence Uncertain","Unknown","New Zealand to Fiji","Tonga Islands",-15.333,-176.283,-1500,"","","Holocene",42.8917439855992,-290.053961813085,162.61709424337,-176.283,-15.333,TRUE
"253",243120,"Tafu-Maka","Tonga","Submarine","Eruption Observed","2008 CE","New Zealand to Fiji","Tonga Islands",-15.37,-174.23,-1400,"Basalt / Picro-Basalt","Rift zone / Oceanic crust (< 15 km)","Holocene",40.8209258064525,-59.0427440571286,149.814753201562,-174.23,-15.37,TRUE
"254",243130,"West Mata","Tonga","Submarine","Eruption Observed","2009 CE","New Zealand to Fiji","Tonga Islands",-15.1,-173.75,-1174,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",20.8727626599497,-22.4789275894477,138.986999503641,-173.75,-15.1,TRUE
