"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"541",283001,"Abu","Japan","Shield(s)","Eruption Dated","6850 BCE","Japan, Taiwan, Marianas","Honshu",34.5,131.6,641,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,131.6,34.5,TRUE
"542",283002,"Sanbesan","Japan","Stratovolcano","Eruption Dated","650 CE","Japan, Taiwan, Marianas","Honshu",35.141,132.622,1126,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,132.622,35.141,TRUE
"543",283003,"Oki-Dogo","Japan","Shield","Evidence Credible","Unknown","Japan, Taiwan, Marianas","Honshu",36.176,133.334,151,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",24.2022686004639,-413.705963134766,175.491882324219,133.334,36.176,TRUE
"544",283010,"Izu-Tobu","Japan","Pyroclastic cone(s)","Eruption Observed","1989 CE","Japan, Taiwan, Marianas","Honshu",34.9,139.098,1406,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,139.098,34.9,TRUE
"545",283020,"Hakoneyama","Japan","Complex","Eruption Dated","2015 CE","Japan, Taiwan, Marianas","Honshu",35.233,139.021,1438,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",39.3925514221191,-116.298614501953,166.835174560547,139.021,35.233,TRUE
"546",283030,"Fujisan","Japan","Stratovolcano","Eruption Observed","1708 CE","Japan, Taiwan, Marianas","Honshu",35.361,138.728,3776,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",40.6041297912598,-134.662399291992,167.598388671875,138.728,35.361,TRUE
"547",283031,"Yokodake","Japan","Stratovolcano(es)","Eruption Dated","1200 CE","Japan, Taiwan, Marianas","Honshu",36.087,138.32,2480,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",36.9523086547852,-159.735641479492,182.145706176758,138.32,36.087,TRUE
"548",283040,"Ontakesan","Japan","Complex","Eruption Observed","2014 CE","Japan, Taiwan, Marianas","Honshu",35.893,137.48,3067,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",34.6999320983887,-218.254623413086,164.901641845703,137.48,35.893,TRUE
"549",283050,"Hakusan","Japan","Stratovolcano","Eruption Observed","1659 CE","Japan, Taiwan, Marianas","Honshu",36.155,136.771,2702,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",31.1604328155518,-253.194488525391,170.564193725586,136.771,36.155,TRUE
"550",283060,"Norikuradake","Japan","Stratovolcano(es)","Eruption Dated","50 BCE","Japan, Taiwan, Marianas","Honshu",36.106,137.554,3026,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",34.336612701416,-210.809005737305,169.349273681641,137.554,36.106,TRUE
"551",283069,"Akandanayama","Japan","Stratovolcano","Evidence Credible","Unknown","Japan, Taiwan, Marianas","Honshu",36.2,137.573,2109,"","","Holocene",33.920223236084,-208.550888061523,171.5048828125,137.573,36.2,TRUE
"552",283070,"Yakedake","Japan","Stratovolcano(es)","Eruption Observed","1995 CE","Japan, Taiwan, Marianas","Honshu",36.227,137.587,2455,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",33.8654899597168,-207.213943481445,172.308120727539,137.587,36.227,TRUE
"553",283071,"Washiba-Kumonotaira","Japan","Shield(s)","Evidence Credible","Unknown","Japan, Taiwan, Marianas","Honshu",36.408,137.594,2924,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",33.1756744384766,-204.92578125,175.433135986328,137.594,36.408,TRUE
"554",283080,"Midagahara","Japan","Stratovolcano","Eruption Observed","1839 CE","Japan, Taiwan, Marianas","Honshu",36.571,137.59,2621,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",32.5419692993164,-205.203826904297,177.943069458008,137.59,36.571,TRUE
"555",283090,"Niigata-Yakeyama","Japan","Lava dome","Eruption Observed","1998 CE","Japan, Taiwan, Marianas","Honshu",36.921,138.036,2400,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",32.1288261413574,-180.412811279297,184.915390014648,138.036,36.921,TRUE
