"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"185",232030,"Bazman","Iran","Stratovolcano","Unrest / Holocene","Unknown","Middle East and Indian Ocean","Middle East (eastern)",28.07,60,3490,"Andesite / Basaltic Andesite","Intraplate / Continental crust (>25 km)","Holocene",17.9599984511986,-72.8191274204127,269.88111367035,60,28.07,TRUE
"186",232040,"Kuh-e Nader","Iran","Volcanic field","Evidence Uncertain","Unknown","Middle East and Indian Ocean","Middle East (eastern)",28.17,60.67,1500,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",18.6965808907901,-74.4596320444188,263.503621428372,60.67,28.17,TRUE
"187",232050,"Taftan","Iran","Stratovolcano","Evidence Credible","Unknown","Middle East and Indian Ocean","Middle East (eastern)",28.6,61.13,3940,"Andesite / Basaltic Andesite","Intraplate / Continental crust (>25 km)","Holocene",26.8050829732171,-93.9514084214366,278.260945654409,61.13,28.6,TRUE
"1566",232020,"Qal'eh Hasan Ali","Iran","Maar(s)",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",29.375,57.55,2400,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",22.1243941083223,-88.1312179865762,283.888804141115,57.55,29.375,TRUE
"1567",232060,"Dacht-i-Navar Group","Afghanistan","Lava dome(s)",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",33.95,67.92,3800,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,67.92,33.95,TRUE
"1570",232801,"Sultan","Pakistan","Volcanic field",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",29.1,62.8,2333,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",36.3854141277161,-117.197067285483,245.489410398198,62.8,29.1,TRUE
"1572",232806,"Gandom Beryan","Iran","Unknown",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",31.343,57.517,500,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,57.517,31.343,TRUE
"1573",232807,"Dehaj-Meduk","Iran","Volcanic field",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",30.33,55.5,0,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,55.5,30.33,TRUE
"1574",232808,"Shahsavaran","Iran","Volcanic field",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",28.152,59.281,0,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",19.9660422054339,-72.1299794787356,286.307484935339,59.281,28.152,TRUE
"1575",232809,"Zardolou Group","Afghanistan","Lava dome(s)",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",33.25,67.92,3000,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,67.92,33.25,TRUE
"1576",232810,"Loman Volcano Group","Afghanistan","Lava dome(s)",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",33.33,67.85,4559,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,67.85,33.33,TRUE
"1577",232812,"East Neh","Iran","Unknown",NA,NA,"Middle East and Indian Ocean","Middle East (eastern)",31.333,60.126,0,NA,"","Pleistocene",NA,NA,NA,60.126,31.333,TRUE
