"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"487",273020,"Pocdol Mountains","Philippines","Compound","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",13.05,123.958,1102,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.958,13.05,TRUE
"488",273030,"Mayon","Philippines","Stratovolcano","Eruption Observed","2019 CE","Philippines and SE Asia","Luzon",13.257,123.685,2462,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.685,13.257,TRUE
"489",273031,"Masaraga","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",13.32,123.6,1328,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.6,13.32,TRUE
"490",273041,"Iriga","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",13.458,123.451,1138,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.451,13.458,TRUE
"491",273042,"Isarog","Philippines","Stratovolcano","Eruption Dated","3500 BCE","Philippines and SE Asia","Luzon",13.658,123.38,1966,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.38,13.658,TRUE
"492",273044,"Malindig","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",13.24,122.018,1157,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,122.018,13.24,TRUE
"493",273050,"Banahaw","Philippines","Complex","Evidence Credible","Unknown","Philippines and SE Asia","Luzon",14.07,121.48,2158,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.48,14.07,TRUE
"494",273060,"San Pablo Volcanic Field","Philippines","Stratovolcano","Eruption Dated","1350 CE","Philippines and SE Asia","Luzon",14.12,121.3,1090,"Trachyandesite / Basaltic Trachyandesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.3,14.12,TRUE
"495",273070,"Taal","Philippines","Caldera","Eruption Observed","1977 CE","Philippines and SE Asia","Luzon",14.002,120.993,311,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,120.993,14.002,TRUE
"496",273080,"Laguna Caldera","Philippines","Caldera","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",14.42,121.27,743,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.27,14.42,TRUE
"497",273081,"Mariveles","Philippines","Stratovolcano","Eruption Dated","2050 BCE","Philippines and SE Asia","Luzon",14.527,120.482,1388,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",54.5194551869886,-95.9868394016158,348.938854655977,120.482,14.527,TRUE
"498",273082,"Natib","Philippines","Stratovolcano","Evidence Uncertain","Unknown","Philippines and SE Asia","Luzon",14.72,120.4,1253,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",51.9273713597329,-88.8521106398628,351.604914363724,120.4,14.72,TRUE
"499",273083,"Pinatubo","Philippines","Stratovolcano","Eruption Observed","1993 CE","Philippines and SE Asia","Luzon",15.13,120.35,1486,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",50.349420560628,-85.4521955620324,2.11328438263349,120.35,15.13,TRUE
"500",273084,"Arayat","Philippines","Stratovolcano","Evidence Uncertain","Unknown","Philippines and SE Asia","Luzon",15.2,120.742,1026,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",59.0970172956973,-146.251548866201,5.64951850677446,120.742,15.2,TRUE
"501",273087,"Patoc","Philippines","Stratovolcano","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",17.147,120.98,1865,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",43.0620597290678,-96.7002099687386,24.1028638056116,120.98,17.147,TRUE
"502",273088,"Ambalatungan Group","Philippines","Compound","Unrest / Holocene","Unknown","Philippines and SE Asia","Luzon",17.32,121.1,2329,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",43.6809533540164,-99.5410932198932,27.5826950171714,121.1,17.32,TRUE
"503",273090,"Cagua","Philippines","Stratovolcano","Eruption Observed","1860 CE","Philippines and SE Asia","Luzon",18.222,122.123,1133,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",56.1924529687291,-151.393768364351,22.8849449353617,122.123,18.222,TRUE
"504",274010,"Camiguin de Babuyanes","Philippines","Stratovolcano","Eruption Observed","1857 CE","Philippines and SE Asia","North of Luzon",18.83,121.86,712,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",44.5647812047085,-93.479685512684,14.3649326919161,121.86,18.83,TRUE
"505",274020,"Didicas","Philippines","Compound","Eruption Observed","1978 CE","Philippines and SE Asia","North of Luzon",19.077,122.202,228,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",50.3896973970411,-123.586324115715,13.6314321990518,122.202,19.077,TRUE
