"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"438",266010,"Colo","Indonesia","Stratovolcano","Eruption Observed","1983 CE","Indonesia","Sulawesi",-0.162,121.601,404,"Trachyandesite / Basaltic Trachyandesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.601,-0.162,TRUE
"439",266020,"Ambang","Indonesia","Complex","Eruption Observed","2005 CE","Indonesia","Sulawesi",0.75,124.42,1795,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.42,0.75,TRUE
"440",266030,"Soputan","Indonesia","Stratovolcano","Eruption Observed","2018 CE","Indonesia","Sulawesi",1.112,124.737,1785,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.737,1.112,TRUE
"441",266040,"Riendengan-Sempu","Indonesia","Caldera","Unrest / Holocene","Unknown","Indonesia","Sulawesi",1.13,124.758,1549,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.758,1.13,TRUE
"442",266070,"Tondano Caldera","Indonesia","Caldera","Unrest / Holocene","Unknown","Indonesia","Sulawesi",1.23,124.83,1202,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.83,1.23,TRUE
"443",266100,"Lokon-Empung","Indonesia","Stratovolcano(es)","Eruption Observed","2015 CE","Indonesia","Sulawesi",1.358,124.792,1580,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.792,1.358,TRUE
"444",266110,"Mahawu","Indonesia","Stratovolcano","Eruption Observed","1977 CE","Indonesia","Sulawesi",1.352,124.865,1299,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.865,1.352,TRUE
"445",266120,"Klabat","Indonesia","Stratovolcano","Unrest / Holocene","Unknown","Indonesia","Sulawesi",1.454,125.031,1968,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,125.031,1.454,TRUE
"446",266130,"Tangkoko-Duasudara","Indonesia","Stratovolcano","Eruption Observed","1880 CE","Indonesia","Sulawesi",1.518,125.185,1334,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,125.185,1.518,TRUE
"447",267010,"Ruang","Indonesia","Stratovolcano","Eruption Observed","2002 CE","Indonesia","Sangihe Islands",2.3,125.37,725,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,125.37,2.3,TRUE
