"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"266",250010,"St. Andrew Strait","Papua New Guinea","Complex","Eruption Observed","1957 CE","Melanesia and Australia","Admiralty Islands",-2.38,147.35,270,"Rhyolite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,147.35,-2.38,TRUE
"267",250020,"Baluan","Papua New Guinea","Stratovolcano","Evidence Uncertain","Unknown","Melanesia and Australia","Admiralty Islands",-2.57,147.28,254,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,147.28,-2.57,TRUE
"268",250030,"Central Bismarck Sea","Papua New Guinea","Submarine","Eruption Dated","1972 CE","Melanesia and Australia","Admiralty Islands",-3.03,147.78,-1300,"No Data (checked)","Rift zone / Continental crust (>25 km)","Holocene",NA,NA,NA,147.78,-3.03,TRUE
"269",251001,"Blup Blup","Papua New Guinea","Stratovolcano","Evidence Credible","Unknown","Melanesia and Australia","Northeast of New Guinea",-3.507,144.605,402,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,144.605,-3.507,TRUE
"270",251002,"Kadovar","Papua New Guinea","Stratovolcano","Evidence Credible","2019 CE","Melanesia and Australia","Northeast of New Guinea",-3.608,144.588,365,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,144.588,-3.608,TRUE
"271",251010,"Bam","Papua New Guinea","Stratovolcano","Eruption Observed","1960 CE","Melanesia and Australia","Northeast of New Guinea",-3.613,144.818,685,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,144.818,-3.613,TRUE
"272",251011,"Boisa","Papua New Guinea","Stratovolcano","Evidence Uncertain","Unknown","Melanesia and Australia","Northeast of New Guinea",-3.994,144.963,240,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,144.963,-3.994,TRUE
"273",251020,"Manam","Papua New Guinea","Stratovolcano","Eruption Observed","2019 CE","Melanesia and Australia","Northeast of New Guinea",-4.08,145.037,1807,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,145.037,-4.08,TRUE
"274",251030,"Karkar","Papua New Guinea","Stratovolcano","Eruption Observed","2014 CE","Melanesia and Australia","Northeast of New Guinea",-4.649,145.964,1839,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,145.964,-4.649,TRUE
"275",251041,"Hankow Reef","Papua New Guinea","Submarine","Evidence Uncertain","Unknown","Melanesia and Australia","Northeast of New Guinea",-4.883,146.717,-5,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,146.717,-4.883,TRUE
