"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"503",273090,"Cagua","Philippines","Stratovolcano","Eruption Observed","1860 CE","Philippines and SE Asia","Luzon",18.222,122.123,1133,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,122.123,18.222,TRUE
"504",274010,"Camiguin de Babuyanes","Philippines","Stratovolcano","Eruption Observed","1857 CE","Philippines and SE Asia","North of Luzon",18.83,121.86,712,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,121.86,18.83,TRUE
"505",274020,"Didicas","Philippines","Compound","Eruption Observed","1978 CE","Philippines and SE Asia","North of Luzon",19.077,122.202,228,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,122.202,19.077,TRUE
"506",274030,"Babuyan Claro","Philippines","Stratovolcano(es)","Eruption Observed","1924 CE","Philippines and SE Asia","North of Luzon",19.523,121.94,1080,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,121.94,19.523,TRUE
"507",274050,"Unnamed","Philippines","Submarine","Eruption Observed","1854 CE","Philippines and SE Asia","North of Luzon",20.33,121.75,-24,"No Data (checked)","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,121.75,20.33,TRUE
"508",274060,"Iraya","Philippines","Stratovolcano","Eruption Observed","1454 CE","Philippines and SE Asia","North of Luzon",20.469,122.01,1009,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,122.01,20.469,TRUE
"519",281020,"Unnamed","Taiwan","Submarine","Evidence Uncertain","Unknown","Japan, Taiwan, Marianas","Taiwan",21.83,121.18,-115,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,121.18,21.83,TRUE
"520",281030,"Unnamed","Taiwan","Submarine","Eruption Observed","1853 CE","Japan, Taiwan, Marianas","Taiwan",24.132,121.926,-1640,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",9.25596046447754,-17.1976375579834,310.719665527344,121.926,24.132,TRUE
"521",281031,"Kueishantao","Taiwan","Stratovolcano","Eruption Observed","1785 CE","Japan, Taiwan, Marianas","Taiwan",24.841,121.953,361,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",20.752893447876,-29.5709018707275,312.092071533203,121.953,24.841,TRUE
"522",281032,"Tatun Volcanic Group","Taiwan","Lava dome(s)","Eruption Dated","648 CE","Japan, Taiwan, Marianas","Taiwan",25.178,121.553,1120,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",30.4352207183838,-25.1974296569824,330.985137939453,121.553,25.178,TRUE
"523",282010,"Submarine Volcano NNE of Iriomotejima","Japan","Submarine","Eruption Observed","1924 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",24.57,123.93,-200,"Rhyolite","Subduction zone / Oceanic crust (< 15 km)","Holocene",20.4187202453613,-36.8799209594727,266.843444824219,123.93,24.57,TRUE
"524",282020,"Io-Torishima","Japan","Complex","Eruption Observed","1968 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",27.881,128.223,212,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",41.5451011657715,-73.9327774047852,216.485595703125,128.223,27.881,TRUE
"525",282021,"Yokoate-jima","Japan","Stratovolcano(es)","Eruption Observed","1835 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",28.797,128.997,495,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",47.3555488586426,-70.2402648925781,216.037948608398,128.997,28.797,TRUE
"526",282022,"Akusekijima","Japan","Stratovolcano(es)","Evidence Uncertain","Unknown","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",29.465,129.594,555,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",47.0381126403809,-68.7169494628906,218.915573120117,129.594,29.465,TRUE
"527",282030,"Suwanosejima","Japan","Stratovolcano(es)","Eruption Observed","2019 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",29.638,129.714,796,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",47.6741333007812,-71.4569549560547,216.683929443359,129.714,29.638,TRUE
"528",282040,"Nakanoshima","Japan","Stratovolcano(es)","Eruption Observed","1914 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",29.859,129.857,979,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",49.0814170837402,-76.1263656616211,212.652923583984,129.857,29.859,TRUE
"529",282043,"Kuchinoshima","Japan","Stratovolcano(es)","Eruption Dated","1190 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",29.968,129.926,628,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",48.6888046264648,-75.047721862793,211.016738891602,129.926,29.968,TRUE
"530",282050,"Kuchinoerabujima","Japan","Stratovolcano(es)","Eruption Observed","2019 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",30.443,130.217,657,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",50.4916648864746,-78.7995529174805,210.574401855469,130.217,30.443,TRUE
"531",282060,"Kikai","Japan","Caldera","Eruption Observed","2019 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",30.793,130.305,704,"Rhyolite","Subduction zone / Oceanic crust (< 15 km)","Holocene",55.1487350463867,-96.4389572143555,211.144424438477,130.305,30.793,TRUE
"532",282070,"Ata","Japan","Caldera(s)","Eruption Observed","885 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",31.22,130.57,924,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",55.3733024597168,-97.2212905883789,206.892333984375,130.57,31.22,TRUE
"533",282080,"Aira","Japan","Caldera","Eruption Observed","2019 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",31.593,130.657,1117,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",57.7147789001465,-113.784660339355,203.231353759766,130.657,31.593,TRUE
"534",282081,"Yonemaru-Sumiyoshiike","Japan","Maar(s)","Eruption Dated","6200 BCE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",31.771,130.592,40,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",59.7456741333008,-132.61637878418,201.378601074219,130.592,31.771,TRUE
"535",282090,"Kirishimayama","Japan","Shield","Eruption Observed","2018 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",31.934,130.862,1700,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",54.5221290588379,-106.444465637207,201.812377929688,130.862,31.934,TRUE
"536",282091,"Fukue","Japan","Shield(s)","Eruption Dated","400 BCE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.657,128.849,315,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",34.7057723999023,-349.717193603516,167.245147705078,128.849,32.657,TRUE
"537",282100,"Unzendake","Japan","Complex","Eruption Observed","1996 CE","Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.761,130.299,1483,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",54.8884506225586,-248.253021240234,208.697326660156,130.299,32.761,TRUE
