"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"340",260001,"Narcondum","India","Stratovolcano","Evidence Credible","Unknown","Indonesia","Andaman Islands",13.43,94.28,710,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",42.4843978881836,-87.5003662109375,30.3458232879639,94.28,13.43,TRUE
"341",260010,"Barren Island","India","Stratovolcano","Eruption Observed","2019 CE","Indonesia","Andaman Islands",12.278,93.858,354,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",44.5907135009766,-98.9516372680664,19.6874465942383,93.858,12.278,TRUE
"342",261020,"Seulawah Agam","Indonesia","Stratovolcano","Eruption Observed","1839 CE","Indonesia","Sumatra",5.448,95.658,1810,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",45.4009170532227,-114.598258972168,317.883331298828,95.658,5.448,TRUE
"343",261030,"Peuet Sague","Indonesia","Complex","Eruption Observed","2000 CE","Indonesia","Sumatra",4.914,96.329,2801,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",46.7209510803223,-124.28734588623,310.857360839844,96.329,4.914,TRUE
"344",261050,"Telong, Bur ni","Indonesia","Stratovolcano","Eruption Observed","1937 CE","Indonesia","Sumatra",4.769,96.821,2617,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",48.7098808288574,-145.80973815918,305.219573974609,96.821,4.769,TRUE
"345",261070,"Singkut","Indonesia","Caldera(s)","Eruption Observed","1881 CE","Indonesia","Sumatra",3.248,98.501,2181,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",38.8625907897949,-132.288848876953,320.211791992188,98.501,3.248,TRUE
"346",261080,"Sinabung","Indonesia","Stratovolcano","Eruption Observed","2019 CE","Indonesia","Sumatra",3.17,98.392,2460,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",36.9266548156738,-121.15406036377,321.07373046875,98.392,3.17,TRUE
"347",261090,"Toba","Indonesia","Caldera","Evidence Credible","Unknown","Indonesia","Sumatra",2.58,98.83,2157,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",36.1643753051758,-124.235191345215,331.067260742188,98.83,2.58,TRUE
"348",261110,"Sibualbuali","Indonesia","Stratovolcano","Evidence Uncertain","Unknown","Indonesia","Sumatra",1.556,99.255,1819,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",38.5949783325195,-115.436470031738,334.715484619141,99.255,1.556,TRUE
"349",261111,"Lubukraya","Indonesia","Stratovolcano","Evidence Uncertain","Unknown","Indonesia","Sumatra",1.478,99.209,1862,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",37.5298080444336,-110.404640197754,334.516937255859,99.209,1.478,TRUE
