"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"265",245030,"Nabukelevu","Fiji","Lava dome(s)","Eruption Dated","1660 CE","New Zealand to Fiji","Fiji Islands",-19.12,177.98,805,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",NA,NA,NA,177.98,-19.12,TRUE
"321",256010,"Tinakula","Solomon Islands","Stratovolcano","Eruption Observed","2019 CE","Melanesia and Australia","Santa Cruz Islands",-10.386,165.804,796,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",41.2871806025078,-64.9473114794779,310.971689869364,165.804,-10.386,TRUE
"322",257001,"Motlav","Vanuatu","Stratovolcano","Evidence Credible","Unknown","Melanesia and Australia","Vanuatu",-13.67,167.67,411,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",71.9205407180472,-213.349000979446,340.515109591197,167.67,-13.67,TRUE
"323",257010,"Suretamatai","Vanuatu","Complex","Eruption Observed","1966 CE","Melanesia and Australia","Vanuatu",-13.8,167.47,921,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",66.6395213013284,-145.642385041341,342.691548654337,167.47,-13.8,TRUE
"324",257020,"Gaua","Vanuatu","Stratovolcano","Eruption Observed","2011 CE","Melanesia and Australia","Vanuatu",-14.27,167.5,797,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",61.0146192039455,-119.034401095569,338.337117520809,167.5,-14.27,TRUE
"325",257021,"Mere Lava","Vanuatu","Stratovolcano","Evidence Credible","Unknown","Melanesia and Australia","Vanuatu",-14.45,168.05,1028,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",69.7743835481281,-229.994415502974,347.85583496116,168.05,-14.45,TRUE
"326",257030,"Ambae","Vanuatu","Shield","Eruption Observed","2018 CE","Melanesia and Australia","Vanuatu",-15.389,167.835,1496,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",57.2877647091384,-90.1246771582302,324.55919732327,167.835,-15.389,TRUE
"327",257040,"Ambrym","Vanuatu","Pyroclastic shield","Eruption Observed","2018 CE","Melanesia and Australia","Vanuatu",-16.25,168.12,1334,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",52.535029152445,-80.2434668047922,343.239542643173,168.12,-16.25,TRUE
"328",257050,"Lopevi","Vanuatu","Stratovolcano","Eruption Observed","2007 CE","Melanesia and Australia","Vanuatu",-16.507,168.346,1413,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",62.6285591401224,-107.907814184825,349.020111074357,168.346,-16.507,TRUE
"329",257060,"Epi","Vanuatu","Stratovolcano(es)","Eruption Observed","2004 CE","Melanesia and Australia","Vanuatu",-16.68,168.37,833,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",61.659966393906,-105.214559911027,352.064348000628,168.37,-16.68,TRUE
"330",257070,"Kuwae","Vanuatu","Caldera","Eruption Observed","1974 CE","Melanesia and Australia","Vanuatu",-16.829,168.536,-2,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",65.1596442471293,-135.854014246327,350.113810217484,168.536,-16.829,TRUE
"331",257080,"NE Shepherd Islands","Vanuatu","Stratovolcano(es)","Evidence Uncertain","Unknown","Melanesia and Australia","Vanuatu",-16.992,168.592,216,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",65.072463995285,-143.258361987883,347.93551635564,168.592,-16.992,TRUE
"332",257081,"North Vate","Vanuatu","Stratovolcano(es)","Evidence Credible","Unknown","Melanesia and Australia","Vanuatu",-17.47,168.353,594,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",54.3119087520111,-76.2405930715944,346.123158778496,168.353,-17.47,TRUE
"333",257090,"Traitor's Head","Vanuatu","Stratovolcano","Eruption Observed","1881 CE","Melanesia and Australia","Vanuatu",-18.754,169.238,817,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",62.5361264669482,-132.063339392928,339.638163241979,169.238,-18.754,TRUE
"334",257100,"Yasur","Vanuatu","Stratovolcano","Eruption Observed","2019 CE","Melanesia and Australia","Vanuatu",-19.532,169.447,361,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",57.7310638701091,-106.753748713048,333.083587644801,169.447,-19.532,TRUE
"335",257110,"Aneityum","Vanuatu","Stratovolcano(es)","Evidence Uncertain","Unknown","Melanesia and Australia","Vanuatu",-20.2,169.78,852,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",64.6071841239373,-114.318585885362,338.794626885554,169.78,-20.2,TRUE
"336",258001,"Eastern Gemini Seamount","France","Submarine","Eruption Observed","1996 CE","Melanesia and Australia","Pacific Ocean (southwestern)",-20.98,170.28,-80,"Basalt / Picro-Basalt","Rift zone / Oceanic crust (< 15 km)","Holocene",63.0652169280385,-119.014624022148,324.400770391227,170.28,-20.98,TRUE
"337",258010,"Matthew Island","France","Stratovolcano","Eruption Observed","1956 CE","Melanesia and Australia","Pacific Ocean (southwestern)",-22.33,171.32,177,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",38.5235507036096,-34.2381210883604,287.592356358221,171.32,-22.33,TRUE
"338",258020,"Hunter Island","France","Stratovolcano","Eruption Observed","1903 CE","Melanesia and Australia","Pacific Ocean (southwestern)",-22.4,172.05,297,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Holocene",40.1693267917572,-40.8765335495157,268.631988489757,172.05,-22.4,TRUE
"1678",257800,"Ureparapara","Vanuatu","Stratovolcano",NA,NA,"Melanesia and Australia","Vanuatu",-13.53,167.32,764,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",65.2781609637532,-127.579554417771,346.592895515194,167.32,-13.53,TRUE
"1679",257801,"Mota","Vanuatu","Stratovolcano",NA,NA,"Melanesia and Australia","Vanuatu",-13.85,167.68,411,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",69.8316726866323,-195.938858266376,336.112813299612,167.68,-13.85,TRUE
"1680",257802,"Merig","Vanuatu","Stratovolcano",NA,NA,"Melanesia and Australia","Vanuatu",-14.32,167.8,125,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",65.7601572788418,-175.198908677467,340.965128587591,167.8,-14.32,TRUE
"1681",257803,"Paama Island","Vanuatu","Complex",NA,NA,"Melanesia and Australia","Vanuatu",-16.47,168.23,544,NA,"Unknown","Pleistocene",56.6313379591118,-88.2440415613064,347.476650654185,168.23,-16.47,TRUE
"1682",257804,"Fatmalapa","Vanuatu","Stratovolcano(es)",NA,NA,"Melanesia and Australia","Vanuatu",-17.57,168.37,500,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",54.370834804337,-74.9730140966672,345.960937506893,168.37,-17.57,TRUE
"1683",257805,"William","Vanuatu","Stratovolcano",NA,NA,"Melanesia and Australia","Vanuatu",-18.7,169.08,886,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",60.2279002110838,-108.092392111924,340.447031650031,169.08,-18.7,TRUE
"1684",257806,"Emae","Vanuatu","Complex",NA,NA,"Melanesia and Australia","Vanuatu",-17.063,168.381,629,NA,"Unknown","Pleistocene",58.6793772701978,-96.7892720124518,348.608727353671,168.381,-17.063,TRUE
"1685",257807,"Pumpan","Vanuatu","Stratovolcano",NA,NA,"Melanesia and Australia","Vanuatu",-18.85,169.12,802,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",59.1303227979209,-104.32411462083,340.60484822098,169.12,-18.85,TRUE
"1686",257808,"Melkum","Vanuatu","Stratovolcano(es)",NA,NA,"Melanesia and Australia","Vanuatu",-18.85,169.05,758,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",57.0778236671455,-93.5905152670974,341.116302485423,169.05,-18.85,TRUE
"1687",257809,"East Tanna Volcano","Vanuatu","Stratovolcano",NA,NA,"Melanesia and Australia","Vanuatu",-19.42,169.45,552,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",59.6785189536339,-116.494285730841,332.847127276702,169.45,-19.42,TRUE
