"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","slab"
"1",311070,"Gareloi","United States","Stratovolcano","Eruption Observed","1989 CE","Alaska","Aleutian Islands",51.79,-178.794,1573,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",50.0416946411133,-73.0919952392578,265.041381835938,"alu"
"2",311080,"Tanaga","United States","Stratovolcano(es)","Eruption Observed","1914 CE","Alaska","Aleutian Islands",51.885,-178.146,1806,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",54.2162399291992,-82.264518737793,264.088684082031,"alu"
"3",311090,"Takawangha","United States","Stratovolcano","Eruption Dated","1550 CE","Alaska","Aleutian Islands",51.873,-178.006,1449,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.0915107727051,-78.2655715942383,263.780548095703,"alu"
"4",311100,"Bobrof","United States","Stratovolcano","Evidence Uncertain","Unknown","Alaska","Aleutian Islands",51.91,-177.438,738,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.6174545288086,-80.4519195556641,264.961273193359,"alu"
"5",311110,"Kanaga","United States","Stratovolcano","Eruption Observed","2012 CE","Alaska","Aleutian Islands",51.923,-177.168,1307,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.0535316467285,-78.4041137695312,265.318420410156,"alu"
"6",311111,"Moffett","United States","Stratovolcano","Eruption Dated","1600 BCE","Alaska","Aleutian Islands",51.944,-176.747,1196,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",54.1111221313477,-79.7398452758789,263.374664306641,"alu"
"7",311120,"Great Sitkin","United States","Stratovolcano","Eruption Observed","2019 CE","Alaska","Aleutian Islands",52.076,-176.13,1740,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",57.1000938415527,-91.0485763549805,258.445556640625,"alu"
"8",311130,"Kasatochi","United States","Stratovolcano","Eruption Observed","2008 CE","Alaska","Aleutian Islands",52.177,-175.508,314,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",56.8181381225586,-96.4794769287109,263.215454101562,"alu"
"9",311140,"Koniuji","United States","Stratovolcano","Eruption Dated","1150 BCE","Alaska","Aleutian Islands",52.22,-175.13,273,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",56.3437461853027,-98.977653503418,267.022796630859,"alu"
"10",311160,"Atka","United States","Stratovolcano(es)","Eruption Observed","1812 CE","Alaska","Aleutian Islands",52.331,-174.139,1448,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",55.8247222900391,-111.208709716797,261.865203857422,"alu"
"11",311161,"Korovin","United States","Stratovolcano(es)","Eruption Observed","2007 CE","Alaska","Aleutian Islands",52.381,-174.166,1518,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",56.9433250427246,-119.984939575195,261.646759033203,"alu"
"12",311180,"Seguam","United States","Stratovolcano(es)","Eruption Observed","1993 CE","Alaska","Aleutian Islands",52.315,-172.51,1054,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",48.5915603637695,-80.9220733642578,254.993286132812,"alu"
"13",311190,"Amukta","United States","Stratovolcano","Eruption Observed","1997 CE","Alaska","Aleutian Islands",52.5,-171.252,1066,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",47.1658668518066,-72.2523422241211,252.607131958008,"alu"
"14",311200,"Chagulak","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Aleutian Islands",52.577,-171.13,1142,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",49.7483673095703,-79.6987838745117,253.169509887695,"alu"
"15",311210,"Yunaska","United States","Shield","Eruption Observed","1937 CE","Alaska","Aleutian Islands",52.643,-170.629,550,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",50.2188377380371,-74.806510925293,248.095367431641,"alu"
"16",311220,"Herbert","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Aleutian Islands",52.742,-170.111,1280,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",49.2152099609375,-70.1401290893555,245.129943847656,"alu"
"17",311230,"Carlisle","United States","Stratovolcano","Eruption Observed","1828 CE","Alaska","Aleutian Islands",52.894,-170.054,1620,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.0275192260742,-86.5520095825195,244.282257080078,"alu"
"18",311240,"Cleveland","United States","Stratovolcano","Eruption Observed","2019 CE","Alaska","Aleutian Islands",52.825,-169.944,1730,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",49.5009536743164,-72.5221481323242,245.216979980469,"alu"
"19",311241,"Tana","United States","Stratovolcano(es)","Evidence Credible","Unknown","Alaska","Aleutian Islands",52.83,-169.77,1170,"Rhyolite","Subduction zone / Intermediate crust (15-25 km)","Holocene",47.9009323120117,-68.6469802856445,245.889221191406,"alu"
"20",311250,"Uliaga","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Aleutian Islands",53.065,-169.77,888,"No Data (checked)","Subduction zone / Intermediate crust (15-25 km)","Holocene",53.8486976623535,-97.8787307739258,243.706634521484,"alu"
"21",311260,"Kagamil","United States","Stratovolcano","Eruption Observed","1929 CE","Alaska","Aleutian Islands",52.974,-169.72,893,"No Data (checked)","Subduction zone / Intermediate crust (15-25 km)","Holocene",51.1637153625488,-82.8834991455078,244.956329345703,"alu"
"22",311270,"Vsevidof","United States","Stratovolcano","Eruption Observed","1878 CE","Alaska","Aleutian Islands",53.13,-168.693,2149,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",46.2280082702637,-69.2907028198242,248.033996582031,"alu"
"23",311280,"Recheschnoi","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Aleutian Islands",53.157,-168.539,1984,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",45.1842765808105,-66.9256134033203,249.546585083008,"alu"
"24",311290,"Okmok","United States","Shield","Eruption Observed","2008 CE","Alaska","Aleutian Islands",53.43,-168.13,1073,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",49.2884979248047,-89.2145462036133,248.724197387695,"alu"
"25",311300,"Bogoslof","United States","Submarine","Eruption Observed","2017 CE","Alaska","Aleutian Islands",53.93,-168.03,150,"Trachyandesite / Basaltic Trachyandesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",49.6977577209473,-146.210662841797,240.109069824219,"alu"
"26",311310,"Makushin","United States","Stratovolcano","Eruption Observed","1995 CE","Alaska","Aleutian Islands",53.891,-166.923,1800,"Andesite / Basaltic Andesite","Subduction zone / Intermediate crust (15-25 km)","Holocene",47.2526435852051,-87.374397277832,235.998870849609,"alu"
"27",311320,"Akutan","United States","Stratovolcano","Eruption Observed","1992 CE","Alaska","Aleutian Islands",54.134,-165.986,1303,"Basalt / Picro-Basalt","Subduction zone / Intermediate crust (15-25 km)","Holocene",43.3919944763184,-79.9773788452148,242.241317749023,"alu"
"28",311340,"Westdahl","United States","Stratovolcano?","Eruption Observed","1992 CE","Alaska","Aleutian Islands",54.516,-164.65,1563,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",43.6443138122559,-86.682487487793,250.183898925781,"alu"
"29",311350,"Fisher","United States","Stratovolcano","Eruption Observed","1830 CE","Alaska","Aleutian Islands",54.65,-164.43,1112,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",45.5092124938965,-95.2672882080078,247.074890136719,"alu"
"30",311360,"Shishaldin","United States","Stratovolcano","Eruption Observed","2019 CE","Alaska","Aleutian Islands",54.756,-163.97,2857,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",45.4228210449219,-92.6541366577148,243.736373901367,"alu"
"31",311370,"Isanotski","United States","Stratovolcano","Evidence Uncertain","Unknown","Alaska","Aleutian Islands",54.765,-163.723,2446,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",44.8830909729004,-87.0552139282227,242.503219604492,"alu"
"32",311380,"Roundtop","United States","Stratovolcano","Eruption Dated","7600 BCE","Alaska","Aleutian Islands",54.8,-163.589,1871,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",45.0367698669434,-86.3256072998047,241.852798461914,"alu"
"33",311390,"Amak","United States","Stratovolcano","Eruption Observed","1796 CE","Alaska","Aleutian Islands",55.424,-163.149,488,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",51.1848411560059,-138.230331420898,236.913986206055,"alu"
"34",312010,"Frosty","United States","Stratovolcano(es)","Evidence Credible","Unknown","Alaska","Alaska Peninsula",55.067,-162.835,1728,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",45.162036895752,-88.3759689331055,238.474060058594,"alu"
"35",312011,"Dutton","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Alaska Peninsula",55.183,-162.276,1465,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",41.4887657165527,-81.9763259887695,241.169692993164,"alu"
"36",312020,"Emmons Lake","United States","Caldera","Evidence Credible","Unknown","Alaska","Alaska Peninsula",55.341,-162.073,1436,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",42.6004600524902,-89.5350341796875,243.563079833984,"alu"
"37",312030,"Pavlof","United States","Stratovolcano","Eruption Observed","2016 CE","Alaska","Alaska Peninsula",55.417,-161.894,2493,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",42.995677947998,-93.0838623046875,245.371887207031,"alu"
"38",312040,"Pavlof Sister","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Alaska Peninsula",55.457,-161.854,2142,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",43.3494529724121,-95.0075225830078,245.727615356445,"alu"
"39",312050,"Dana","United States","Stratovolcano","Eruption Dated","1890 BCE","Alaska","Alaska Peninsula",55.641,-161.214,1354,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",43.4400253295898,-97.2649078369141,245.60563659668,"alu"
"40",312051,"Stepovak Bay 2","United States","Pyroclastic cone","Evidence Credible","Unknown","Alaska","Alaska Peninsula",55.913,-160.041,1323,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",46.0779876708984,-94.5230102539062,239.773101806641,"alu"
"41",312052,"Stepovak Bay 3","United States","Pyroclastic cone","Evidence Uncertain","Unknown","Alaska","Alaska Peninsula",55.929,-160.002,1555,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",46.2489318847656,-95.0943450927734,239.470596313477,"alu"
"42",312053,"Stepovak Bay 4","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Alaska Peninsula",55.954,-159.954,1557,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",46.2753791809082,-95.0750579833984,239.092025756836,"alu"
"43",312060,"Kupreanof","United States","Stratovolcano","Eruption Observed","1987 CE","Alaska","Alaska Peninsula",56.011,-159.797,1895,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",46.555362701416,-96.5940628051758,237.581939697266,"alu"
"44",312070,"Veniaminof","United States","Stratovolcano","Eruption Observed","2018 CE","Alaska","Alaska Peninsula",56.17,-159.38,2507,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",46.5970726013184,-94.503303527832,227.759902954102,"alu"
